Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-PL,1.25 [1.20-1.29],8.826e-27,***,Phospholipids in HDL
M-HDL-PL,1.24 [1.20-1.29],2.026e-27,***,Phospholipids in Medium HDL
M-HDL-L,1.24 [1.19-1.28],5.182e-25,***,Total-Lipids in Medium HDL
HDL-L,1.23 [1.19-1.28],1.921e-23,***,Total-Lipids in HDL
M-HDL-FC,1.23 [1.18-1.27],8.854e-24,***,Free Cholesterol in Medium HDL
ApoA1,1.23 [1.18-1.27],1.166e-22,***,Apolipoprotein A1
M-HDL-P,1.22 [1.18-1.27],7.683e-24,***,Concentration of Medium HDL Particles
S-HDL-PL%,1.22 [1.17-1.26],3.027e-20,***,Phospholipids to Total-Lipids in Small HDL percentage
HDL-FC,1.21 [1.17-1.26],6.187e-20,***,Free Cholesterol in HDL
M-HDL-C,1.21 [1.17-1.25],3.217e-19,***,Cholesterol in Medium HDL
PC,1.21 [1.16-1.25],6.578e-19,***,Phosphatidylcholines
L-HDL-PL,1.21 [1.16-1.25],1.898e-17,***,Phospholipids in Large HDL
Phosphoglyc,1.20 [1.16-1.25],5.110e-18,***,Phosphoglycerides
M-HDL-CE,1.20 [1.16-1.25],5.656e-18,***,Cholesteryl Esters in Medium HDL
HDL-C,1.19 [1.15-1.24],1.860e-15,***,HDL Cholesterol
L-HDL-L,1.19 [1.15-1.24],1.529e-14,***,Total-Lipids in Large HDL
L-HDL-TG,1.19 [1.15-1.23],7.260e-18,***,Triglycerides in Large HDL
HDL-P,1.19 [1.15-1.23],1.658e-16,***,Concentration of HDL Particles
Cholines,1.19 [1.15-1.23],1.524e-15,***,Total-Cholines
HDL-CE,1.18 [1.14-1.23],7.213e-14,***,Cholesteryl Esters in HDL
S-HDL-PL,1.18 [1.14-1.23],2.261e-15,***,Phospholipids in Small HDL
Total-P,1.18 [1.14-1.22],2.564e-14,***,Total-Concentration of Lipoprotein Particles
L-HDL-P,1.18 [1.13-1.22],1.291e-12,***,Concentration of Large HDL Particles
L-HDL-FC,1.17 [1.13-1.22],6.132e-12,***,Free Cholesterol in Large HDL
HDL-size,1.17 [1.13-1.22],5.590e-11,***,Average Diameter for HDL Particles
M-HDL-FC%,1.16 [1.12-1.21],2.245e-09,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-TG,1.16 [1.12-1.21],1.893e-12,***,Triglycerides in Medium HDL
L-HDL-C,1.16 [1.12-1.21],2.771e-09,***,Cholesterol in Large HDL
S-HDL-FC,1.16 [1.12-1.20],7.096e-11,***,Free Cholesterol in Small HDL
S-HDL-L,1.16 [1.12-1.20],2.972e-10,***,Total-Lipids in Small HDL
Total-PL,1.16 [1.12-1.20],2.988e-10,***,Total-Phospholipids in Lipoprotein Particles
L-HDL-CE,1.15 [1.11-1.20],2.197e-08,***,Cholesteryl Esters in Large HDL
HDL-TG,1.15 [1.11-1.19],2.705e-09,***,Triglycerides in HDL
XL-HDL-PL%,1.14 [1.10-1.19],1.506e-05,***,Phospholipids to Total-Lipids in Very Large HDL percentage
SFA,1.13 [1.09-1.17],3.019e-06,***,Saturated Fatty Acids
XL-HDL-PL,1.13 [1.09-1.17],9.046e-05,***,Phospholipids in Very Large HDL
Total-FA,1.12 [1.08-1.17],5.143e-05,***,Total-Fatty Acids
XL-HDL-L,1.12 [1.08-1.16],0.002,**,Total-Lipids in Very Large HDL
XL-HDL-P,1.12 [1.08-1.16],0.002,**,Concentration of Very Large HDL Particles
PUFA,1.11 [1.07-1.15],0.002,**,Polyunsaturated Fatty Acids
IDL-TG,1.11 [1.07-1.15],0.002,**,Triglycerides in IDL
XL-HDL-TG,1.11 [1.07-1.15],0.001,**,Triglycerides in Very Large HDL
SM,1.11 [1.07-1.15],0.004,**,Sphingomyelins
Omega-6,1.11 [1.07-1.15],0.006,**,Omega-6 Fatty Acids
S-HDL-C,1.10 [1.07-1.15],0.011,*,Cholesterol in Small HDL
S-HDL-P,1.10 [1.07-1.14],0.013,*,Concentration of Small HDL Particles
XS-VLDL-TG,1.10 [1.06-1.14],0.036,*,Triglycerides in Very Small VLDL
IDL-FC%,0.91 [0.88-0.94],0.013,*,Free Cholesterol to Total-Lipids in IDL percentage
Val,0.90 [0.87-0.93],0.013,*,Valine
Total-BCAA,0.89 [0.86-0.93],9.979e-04,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
ApoB/ApoA1,0.89 [0.85-0.92],3.929e-05,***,Apolipoprotein B to Apolipoprotein A1 ratio
Leu,0.89 [0.85-0.92],1.002e-04,***,Leucine
S-HDL-C%,0.88 [0.85-0.91],2.165e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,0.87 [0.84-0.90],7.329e-09,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-C%,0.84 [0.80-0.87],4.686e-15,***,Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.83 [0.80-0.86],3.778e-17,***,Creatinine
XL-HDL-FC%,0.83 [0.79-0.86],9.218e-17,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
