Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.18 [1.15-1.21],2.326e-28,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.17 [1.14-1.21],1.402e-26,***,Triglycerides to Total-Lipids in Large LDL percentage
MUFA%,1.16 [1.13-1.20],4.658e-20,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.16 [1.13-1.19],1.428e-22,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.15 [1.12-1.18],3.213e-17,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.15 [1.11-1.18],7.978e-18,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.14 [1.11-1.17],2.049e-14,***,Glycoprotein Acetyls
XS-VLDL-PL%,1.14 [1.11-1.17],8.250e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.13 [1.10-1.16],5.441e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.13 [1.10-1.16],4.502e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
S-VLDL-TG%,1.13 [1.09-1.16],3.060e-11,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.12 [1.09-1.16],6.044e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.12 [1.09-1.15],2.342e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
IDL-PL%,1.11 [1.08-1.14],3.447e-09,***,Phospholipids to Total-Lipids in IDL percentage
M-HDL-TG%,1.11 [1.08-1.14],1.496e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG,1.11 [1.08-1.14],1.558e-08,***,Triglycerides in Small HDL
XL-HDL-TG%,1.11 [1.08-1.14],9.629e-08,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.11 [1.07-1.14],3.307e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
XL-VLDL-TG%,1.10 [1.07-1.14],6.108e-05,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG,1.10 [1.07-1.13],1.094e-07,***,Triglycerides in Very Small VLDL
L-HDL-TG%,1.10 [1.07-1.13],3.886e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG,1.10 [1.07-1.13],6.994e-07,***,Triglycerides in Medium HDL
HDL-TG,1.09 [1.06-1.12],1.581e-05,***,Triglycerides in HDL
TG/PG,1.09 [1.06-1.12],3.878e-04,***,Triglycerides to Phosphoglycerides ratio
IDL-TG,1.09 [1.06-1.12],9.279e-05,***,Triglycerides in IDL
S-VLDL-TG,1.08 [1.06-1.11],5.201e-04,***,Triglycerides in Small VLDL
S-HDL-PL%,1.08 [1.05-1.11],0.006,**,Phospholipids to Total-Lipids in Small HDL percentage
MUFA,1.08 [1.05-1.11],0.008,**,Monounsaturated Fatty Acids
XXL-VLDL-PL,1.08 [1.05-1.11],0.005,**,Phospholipids in Chylomicrons and Extremely Large VLDL
Total-TG,1.08 [1.05-1.11],0.028,*,Total-Triglycerides
XXL-VLDL-P,1.08 [1.05-1.10],0.011,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-FC,1.08 [1.05-1.10],0.014,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.08 [1.05-1.10],0.025,*,Triglycerides in Very Large VLDL
L-LDL-TG,1.07 [1.05-1.10],0.028,*,Triglycerides in Large LDL
LDL-TG,1.07 [1.05-1.10],0.030,*,Triglycerides in LDL
LDL-PL,0.93 [0.91-0.96],0.041,*,Phospholipids in LDL
L-LDL-L,0.93 [0.91-0.96],0.023,*,Total-Lipids in Large LDL
L-VLDL-CE%,0.93 [0.90-0.96],0.049,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
LDL-C,0.93 [0.90-0.95],0.014,*,LDL Cholesterol
Total-C,0.93 [0.90-0.95],0.007,**,Total-Cholesterol
M-VLDL-CE,0.93 [0.90-0.95],0.009,**,Cholesteryl Esters in Medium VLDL
DHA%,0.93 [0.90-0.95],0.018,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
Total-CE,0.92 [0.90-0.95],0.002,**,Total-Esterified Cholesterol
L-LDL-C,0.92 [0.90-0.95],0.002,**,Cholesterol in Large LDL
L-LDL-PL,0.92 [0.90-0.95],0.002,**,Phospholipids in Large LDL
IDL-L,0.92 [0.90-0.95],0.001,**,Total-Lipids in IDL
M-HDL-FC%,0.92 [0.90-0.95],0.002,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-CE%,0.92 [0.90-0.95],4.212e-04,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-HDL-P,0.92 [0.89-0.95],0.027,*,Concentration of Very Large HDL Particles
L-HDL-C,0.92 [0.89-0.95],0.015,*,Cholesterol in Large HDL
L-HDL-CE,0.92 [0.89-0.95],0.005,**,Cholesteryl Esters in Large HDL
Clinical LDL-C,0.92 [0.89-0.94],1.995e-05,***,Clinical LDL Cholesterol
M-LDL-FC,0.92 [0.89-0.94],5.143e-05,***,Free Cholesterol in Medium LDL
XL-HDL-FC,0.91 [0.89-0.94],4.744e-04,***,Free Cholesterol in Very Large HDL
XS-VLDL-FC%,0.91 [0.89-0.94],2.501e-07,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-FC,0.91 [0.89-0.94],2.345e-06,***,Free Cholesterol in IDL
IDL-CE,0.91 [0.89-0.93],7.471e-07,***,Cholesteryl Esters in IDL
M-VLDL-PL%,0.91 [0.88-0.93],2.052e-07,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-C,0.91 [0.88-0.93],3.967e-07,***,Cholesterol in IDL
S-LDL-FC,0.91 [0.88-0.93],6.205e-07,***,Free Cholesterol in Small LDL
LDL-FC,0.91 [0.88-0.93],4.590e-07,***,Free Cholesterol in LDL
L-LDL-FC,0.91 [0.88-0.93],4.815e-07,***,Free Cholesterol in Large LDL
XL-HDL-CE%,0.91 [0.88-0.93],8.045e-08,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-C,0.90 [0.88-0.93],3.714e-05,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.90 [0.88-0.93],4.498e-05,***,Cholesteryl Esters in Very Large HDL
S-HDL-CE%,0.90 [0.88-0.93],1.462e-08,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-HDL-CE%,0.90 [0.88-0.93],1.285e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-VLDL-FC%,0.90 [0.87-0.92],3.096e-10,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-FC%,0.90 [0.87-0.92],1.523e-10,***,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-CE%,0.90 [0.87-0.92],2.364e-11,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-C%,0.90 [0.87-0.92],1.445e-10,***,Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-C%,0.89 [0.87-0.92],8.553e-09,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-C%,0.89 [0.87-0.92],1.546e-10,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-C%,0.89 [0.87-0.92],5.922e-12,***,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-C%,0.89 [0.87-0.92],7.906e-12,***,Cholesterol to Total-Lipids in Small LDL percentage
Unsaturation,0.89 [0.87-0.92],1.566e-10,***,Degree of Unsaturation
M-VLDL-CE%,0.89 [0.87-0.91],1.653e-14,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,0.89 [0.87-0.92],3.311e-10,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Omega-6%,0.89 [0.87-0.91],1.878e-12,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-C%,0.89 [0.87-0.91],7.199e-14,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C%,0.89 [0.87-0.91],1.990e-14,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-C%,0.89 [0.86-0.91],2.395e-13,***,Cholesterol to Total-Lipids in Small HDL percentage
