Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-PL%,1.05 [0.98-1.12],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-CE%,1.05 [0.94-1.16],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-FC%,1.05 [0.96-1.14],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-FC%,1.03 [0.95-1.13],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-TG%,1.02 [0.95-1.11],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.97 [0.90-1.06],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
HDL-C,0.93 [0.86-1.01],1.000,,HDL Cholesterol
LDL-C,0.89 [0.82-0.96],1.000,,LDL Cholesterol
Non-HDL-C,0.88 [0.81-0.95],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.87 [0.81-0.94],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
