Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.47 [1.32-1.64],2.241e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.44 [1.30-1.61],9.418e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.44 [1.30-1.60],7.092e-07,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.41 [1.25-1.59],0.005,**,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,1.36 [1.23-1.51],4.873e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.32 [1.19-1.46],0.018,*,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.32 [1.19-1.46],0.033,*,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-FC%,0.78 [0.72-0.85],0.003,**,Free Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-C%,0.77 [0.70-0.85],0.029,*,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE%,0.76 [0.70-0.83],4.969e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.76 [0.69-0.84],0.026,*,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-C%,0.76 [0.69-0.83],0.001,**,Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.75 [0.67-0.83],0.032,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-FC%,0.74 [0.68-0.82],3.786e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.74 [0.68-0.81],5.209e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.74 [0.67-0.82],6.926e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Total-C,0.74 [0.67-0.82],0.007,**,Total-Cholesterol
S-VLDL-FC%,0.74 [0.67-0.82],0.001,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-CE,0.74 [0.66-0.82],0.006,**,Total-Esterified Cholesterol
S-VLDL-PL%,0.74 [0.66-0.82],0.008,**,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-C%,0.73 [0.66-0.80],3.371e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-P,0.72 [0.64-0.81],0.033,*,Concentration of IDL Particles
IDL-L,0.72 [0.64-0.80],9.579e-04,***,Total-Lipids in IDL
IDL-C%,0.72 [0.65-0.78],6.048e-08,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-PL%,0.72 [0.65-0.79],3.787e-06,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-FC,0.71 [0.63-0.80],0.003,**,Free Cholesterol in IDL
IDL-CE%,0.71 [0.65-0.78],2.075e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-CE,0.71 [0.62-0.80],0.009,**,Cholesteryl Esters in Very Small VLDL
IDL-C,0.70 [0.62-0.78],7.856e-05,***,Cholesterol in IDL
IDL-CE,0.70 [0.62-0.78],9.500e-05,***,Cholesteryl Esters in IDL
XS-VLDL-C%,0.69 [0.63-0.75],8.821e-10,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.67 [0.61-0.74],9.375e-12,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
