Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.10 [1.04-1.17],1.000,,Triglycerides to Total-Lipids in IDL percentage
L-LDL-PL%,1.04 [0.98-1.11],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.03 [0.97-1.09],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.01 [0.95-1.07],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.00 [0.94-1.07],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.97 [0.91-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.91 [0.85-0.96],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.90 [0.85-0.96],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.90 [0.85-0.96],1.000,,LDL Cholesterol
Val,0.85 [0.80-0.91],0.916,,Valine
