Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoA1,1.30 [1.24-1.37],5.129e-22,***,Apolipoprotein A1
HDL-P,1.30 [1.24-1.36],1.293e-23,***,Concentration of HDL Particles
Total-P,1.30 [1.24-1.36],6.402e-23,***,Total-Concentration of Lipoprotein Particles
M-HDL-FC,1.30 [1.24-1.36],7.643e-22,***,Free Cholesterol in Medium HDL
M-HDL-P,1.30 [1.24-1.36],3.037e-22,***,Concentration of Medium HDL Particles
HDL-L,1.29 [1.23-1.36],1.382e-19,***,Total-Lipids in HDL
M-HDL-L,1.29 [1.23-1.36],3.791e-21,***,Total-Lipids in Medium HDL
HDL-PL,1.29 [1.23-1.36],9.057e-20,***,Phospholipids in HDL
M-HDL-C,1.29 [1.23-1.35],2.837e-20,***,Cholesterol in Medium HDL
M-HDL-PL,1.29 [1.23-1.35],4.564e-21,***,Phospholipids in Medium HDL
M-HDL-CE,1.29 [1.23-1.35],9.669e-20,***,Cholesteryl Esters in Medium HDL
HDL-C,1.28 [1.22-1.34],6.150e-17,***,HDL Cholesterol
HDL-FC,1.28 [1.22-1.34],3.026e-17,***,Free Cholesterol in HDL
HDL-CE,1.27 [1.21-1.34],3.243e-16,***,Cholesteryl Esters in HDL
PC,1.27 [1.21-1.33],5.864e-17,***,Phosphatidylcholines
S-HDL-FC,1.26 [1.21-1.32],5.799e-18,***,Free Cholesterol in Small HDL
S-HDL-PL,1.26 [1.20-1.31],7.364e-18,***,Phospholipids in Small HDL
Phosphoglyc,1.25 [1.20-1.31],2.319e-15,***,Phosphoglycerides
S-HDL-L,1.25 [1.19-1.31],2.433e-16,***,Total-Lipids in Small HDL
Cholines,1.25 [1.19-1.31],1.380e-14,***,Total-Cholines
S-HDL-C,1.24 [1.19-1.30],3.430e-15,***,Cholesterol in Small HDL
M-HDL-FC%,1.24 [1.18-1.30],1.433e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-P,1.24 [1.18-1.29],8.257e-15,***,Concentration of Small HDL Particles
Total-PL,1.23 [1.17-1.29],2.024e-12,***,Total-Phospholipids in Lipoprotein Particles
S-HDL-CE,1.23 [1.17-1.28],8.651e-13,***,Cholesteryl Esters in Small HDL
L-HDL-PL,1.21 [1.15-1.27],2.466e-08,***,Phospholipids in Large HDL
SM,1.20 [1.15-1.26],5.295e-09,***,Sphingomyelins
L-HDL-L,1.20 [1.14-1.27],2.975e-07,***,Total-Lipids in Large HDL
L-HDL-P,1.19 [1.13-1.25],4.816e-06,***,Concentration of Large HDL Particles
L-HDL-FC,1.18 [1.12-1.24],4.674e-05,***,Free Cholesterol in Large HDL
L-HDL-C,1.18 [1.12-1.24],9.723e-05,***,Cholesterol in Large HDL
Total-CE,1.17 [1.12-1.23],2.747e-06,***,Total-Esterified Cholesterol
L-HDL-CE,1.17 [1.11-1.23],2.299e-04,***,Cholesteryl Esters in Large HDL
SFA%,1.17 [1.12-1.22],1.965e-06,***,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-C,1.16 [1.11-1.22],3.273e-05,***,Total-Cholesterol
Total-L,1.16 [1.11-1.21],3.337e-05,***,Total-Lipids in Lipoprotein Particles
SFA,1.16 [1.11-1.21],2.598e-05,***,Saturated Fatty Acids
IDL-CE,1.13 [1.08-1.19],0.013,*,Cholesteryl Esters in IDL
Total-FC,1.13 [1.08-1.19],0.014,*,Total-Free Cholesterol
Total-FA,1.13 [1.08-1.18],0.025,*,Total-Fatty Acids
IDL-C,1.13 [1.08-1.18],0.033,*,Cholesterol in IDL
IDL-L,1.13 [1.08-1.18],0.037,*,Total-Lipids in IDL
S-HDL-CE%,0.97 [0.93-1.02],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-LDL-PL%,0.95 [0.91-1.00],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-PL%,0.89 [0.85-0.93],0.075,,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC%,0.85 [0.81-0.90],3.610e-04,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,0.84 [0.80-0.88],5.183e-07,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
