Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.31 [1.30-1.33],0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.30 [1.29-1.32],0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.27 [1.25-1.28],2.580e-311,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.26 [1.24-1.28],1.997e-257,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.24 [1.22-1.26],2.906e-220,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,1.24 [1.22-1.25],3.631e-226,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-TG%,1.24 [1.22-1.25],3.131e-261,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.22 [1.21-1.24],7.136e-193,***,Triglycerides to Total-Lipids in Small HDL percentage
MUFA%,1.21 [1.20-1.23],3.756e-175,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG,1.21 [1.19-1.22],5.315e-205,***,Triglycerides in Small HDL
S-LDL-TG%,1.21 [1.19-1.22],7.309e-199,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.21 [1.19-1.22],2.298e-170,***,Triglycerides to Total-Lipids in Small VLDL percentage
GlycA,1.21 [1.19-1.22],3.116e-165,***,Glycoprotein Acetyls
XS-VLDL-TG,1.20 [1.19-1.22],1.208e-209,***,Triglycerides in Very Small VLDL
TG/PG,1.20 [1.18-1.22],1.783e-159,***,Triglycerides to Phosphoglycerides ratio
L-HDL-PL%,1.20 [1.18-1.21],2.394e-176,***,Phospholipids to Total-Lipids in Large HDL percentage
S-VLDL-TG,1.20 [1.18-1.21],8.685e-189,***,Triglycerides in Small VLDL
M-LDL-TG,1.20 [1.18-1.21],2.717e-208,***,Triglycerides in Medium LDL
LDL-TG,1.19 [1.18-1.21],4.589e-198,***,Triglycerides in LDL
L-LDL-TG,1.19 [1.18-1.21],6.631e-195,***,Triglycerides in Large LDL
L-HDL-TG%,1.19 [1.18-1.21],5.154e-155,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-TG,1.18 [1.17-1.20],1.056e-173,***,Triglycerides in IDL
M-HDL-TG%,1.18 [1.17-1.20],9.868e-133,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-TG%,1.18 [1.16-1.20],1.397e-103,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-TG,1.17 [1.16-1.19],7.957e-160,***,Triglycerides in Small LDL
Total-TG,1.17 [1.15-1.18],2.860e-130,***,Total-Triglycerides
L-VLDL-PL%,1.17 [1.15-1.19],1.777e-85,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-PL%,1.16 [1.15-1.18],4.460e-112,***,Phospholipids to Total-Lipids in Medium HDL percentage
Omega-3,1.16 [1.15-1.18],2.291e-125,***,Omega-3 Fatty Acids
VLDL-TG,1.16 [1.15-1.17],1.035e-115,***,Triglycerides in VLDL
L-VLDL-PL,1.16 [1.15-1.17],2.177e-120,***,Phospholipids in Large VLDL
MUFA,1.16 [1.14-1.17],7.791e-114,***,Monounsaturated Fatty Acids
XL-VLDL-TG,1.16 [1.14-1.17],2.822e-121,***,Triglycerides in Very Large VLDL
XXL-VLDL-PL%,1.16 [1.14-1.17],8.434e-91,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-TG,1.16 [1.14-1.17],8.701e-117,***,Triglycerides in Medium VLDL
XL-VLDL-P,1.15 [1.14-1.17],1.293e-118,***,Concentration of Very Large VLDL Particles
L-VLDL-P,1.15 [1.14-1.17],1.112e-115,***,Concentration of Large VLDL Particles
L-VLDL-FC,1.15 [1.14-1.17],2.540e-109,***,Free Cholesterol in Large VLDL
XL-VLDL-L,1.15 [1.14-1.16],9.383e-105,***,Total-Lipids in Very Large VLDL
L-VLDL-L,1.15 [1.13-1.16],1.613e-101,***,Total-Lipids in Large VLDL
S-VLDL-P,1.15 [1.13-1.16],7.167e-109,***,Concentration of Small VLDL Particles
L-VLDL-TG,1.15 [1.13-1.16],1.216e-105,***,Triglycerides in Large VLDL
VLDL-size,1.15 [1.13-1.16],3.919e-83,***,Average Diameter for VLDL Particles
XL-VLDL-PL,1.14 [1.13-1.15],5.835e-94,***,Phospholipids in Very Large VLDL
Omega-3%,1.14 [1.12-1.15],3.310e-84,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-TG,1.14 [1.12-1.15],2.442e-94,***,Triglycerides in HDL
XL-VLDL-FC,1.13 [1.12-1.15],1.686e-85,***,Free Cholesterol in Very Large VLDL
S-VLDL-L,1.13 [1.12-1.15],6.399e-83,***,Total-Lipids in Small VLDL
XL-HDL-FC%,1.13 [1.11-1.14],2.156e-60,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-C,1.13 [1.11-1.14],9.797e-78,***,Cholesterol in Large VLDL
M-HDL-TG,1.13 [1.11-1.14],5.059e-80,***,Triglycerides in Medium HDL
IDL-PL%,1.13 [1.11-1.14],1.666e-74,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-PL,1.12 [1.11-1.14],1.135e-77,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.12 [1.11-1.14],9.893e-79,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-FC,1.12 [1.10-1.13],1.001e-69,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
VLDL-L,1.12 [1.10-1.13],4.383e-61,***,Total-Lipids in VLDL
XL-VLDL-C,1.12 [1.10-1.13],2.462e-64,***,Cholesterol in Very Large VLDL
XXL-VLDL-C,1.12 [1.10-1.13],8.208e-66,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.11 [1.10-1.13],8.399e-63,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,1.11 [1.10-1.13],2.234e-61,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Total-FA,1.11 [1.10-1.12],1.969e-55,***,Total-Fatty Acids
XXL-VLDL-TG,1.11 [1.09-1.12],2.597e-57,***,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-PL,1.11 [1.09-1.12],5.342e-54,***,Phospholipids in VLDL
SFA,1.10 [1.09-1.12],1.019e-48,***,Saturated Fatty Acids
VLDL-P,1.10 [1.09-1.11],4.226e-51,***,Concentration of VLDL Particles
L-VLDL-CE,1.10 [1.09-1.11],5.746e-49,***,Cholesteryl Esters in Large VLDL
XL-VLDL-CE,1.10 [1.08-1.11],3.526e-44,***,Cholesteryl Esters in Very Large VLDL
XL-HDL-TG,1.10 [1.08-1.11],7.595e-48,***,Triglycerides in Very Large HDL
Glu-lactate,1.09 [1.08-1.10],3.796e-37,***,Glucose-lactate
Creatinine,1.09 [1.07-1.10],4.054e-27,***,Creatinine
Ala,1.09 [1.07-1.10],1.475e-21,***,Alanine
VLDL-FC,1.08 [1.07-1.10],1.530e-33,***,Free Cholesterol in VLDL
S-VLDL-PL,1.08 [1.07-1.10],5.926e-34,***,Phospholipids in Small VLDL
DHA,1.08 [1.07-1.10],4.813e-32,***,Docosahexaenoic Acid
M-VLDL-L,1.08 [1.07-1.09],3.051e-30,***,Total-Lipids in Medium VLDL
S-HDL-L,1.08 [1.07-1.09],8.220e-27,***,Total-Lipids in Small HDL
S-HDL-FC,1.08 [1.07-1.09],5.882e-26,***,Free Cholesterol in Small HDL
S-VLDL-CE,1.07 [1.06-1.09],1.126e-25,***,Cholesteryl Esters in Small VLDL
S-HDL-PL,1.07 [1.06-1.09],5.276e-22,***,Phospholipids in Small HDL
Sc-ala,1.07 [1.06-1.08],3.333e-21,***,Spectrometer-corrected alanine
XS-VLDL-PL,1.07 [1.05-1.08],2.355e-20,***,Phospholipids in Very Small VLDL
Glu,1.07 [1.05-1.08],1.783e-17,***,Glucose
M-VLDL-P,1.06 [1.05-1.08],7.604e-19,***,Concentration of Medium VLDL Particles
L-LDL-CE%,1.06 [1.05-1.08],2.466e-17,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Val,1.06 [1.05-1.08],1.386e-14,***,Valine
S-VLDL-C,1.06 [1.05-1.07],9.662e-16,***,Cholesterol in Small VLDL
Total-BCAA,1.06 [1.04-1.07],4.567e-12,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA,1.06 [1.04-1.07],4.353e-12,***,Polyunsaturated Fatty Acids
S-HDL-P,1.05 [1.04-1.07],1.959e-10,***,Concentration of Small HDL Particles
M-VLDL-PL,1.05 [1.04-1.07],1.801e-11,***,Phospholipids in Medium VLDL
Leu,1.05 [1.03-1.06],1.422e-07,***,Leucine
Ile,1.05 [1.03-1.06],3.056e-07,***,Isoleucine
M-LDL-PL,1.04 [1.03-1.06],1.255e-05,***,Phospholipids in Medium LDL
L-HDL-TG,1.04 [1.03-1.06],4.184e-05,***,Triglycerides in Large HDL
Pyruvate,1.04 [1.03-1.05],2.412e-05,***,Pyruvate
S-VLDL-FC,1.04 [1.03-1.05],1.318e-05,***,Free Cholesterol in Small VLDL
S-HDL-C,1.04 [1.03-1.05],8.329e-04,***,Cholesterol in Small HDL
XS-VLDL-L,1.04 [1.03-1.05],4.647e-04,***,Total-Lipids in Very Small VLDL
M-LDL-CE,1.04 [1.03-1.05],9.006e-04,***,Cholesteryl Esters in Medium LDL
XS-VLDL-P,1.04 [1.03-1.05],6.112e-04,***,Concentration of Very Small VLDL Particles
VLDL-C,1.04 [1.03-1.05],7.154e-04,***,VLDL Cholesterol
Lactate,1.04 [1.02-1.05],0.002,**,Lactate
L-VLDL-TG%,1.04 [1.02-1.05],0.004,**,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-PL,1.04 [1.02-1.05],8.557e-04,***,Phospholipids in Small LDL
S-LDL-CE,1.04 [1.02-1.05],0.003,**,Cholesteryl Esters in Small LDL
S-LDL-L,1.03 [1.02-1.05],0.024,*,Total-Lipids in Small LDL
ApoB/ApoA1,1.03 [1.02-1.05],0.048,*,Apolipoprotein B to Apolipoprotein A1 ratio
L-LDL-PL,0.97 [0.95-0.98],0.031,*,Phospholipids in Large LDL
Non-HDL-C,0.97 [0.95-0.98],0.015,*,Total-Cholesterol Minus HDL-C
HDL-P,0.96 [0.95-0.98],0.006,**,Concentration of HDL Particles
