Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.23 [1.17-1.29],7.241e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.21 [1.15-1.27],2.636e-09,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.19 [1.14-1.25],1.922e-08,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.19 [1.13-1.25],1.701e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.19 [1.13-1.25],1.368e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.17 [1.11-1.23],0.001,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.16 [1.11-1.22],6.896e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.15 [1.10-1.21],0.001,**,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.15 [1.09-1.21],0.041,*,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-PL,0.88 [0.84-0.92],0.045,*,Phospholipids in Medium LDL
M-VLDL-C,0.88 [0.84-0.92],0.028,*,Cholesterol in Medium VLDL
Remnant-C,0.88 [0.84-0.92],0.028,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-CE,0.88 [0.84-0.92],0.044,*,Cholesteryl Esters in Medium LDL
M-LDL-L,0.88 [0.84-0.92],0.019,*,Total-Lipids in Medium LDL
Total-L,0.88 [0.84-0.92],0.048,*,Total-Lipids in Lipoprotein Particles
M-VLDL-CE%,0.88 [0.83-0.92],0.017,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-C,0.87 [0.83-0.92],0.007,**,Cholesterol in Small LDL
M-VLDL-C%,0.87 [0.83-0.92],0.017,*,Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-C%,0.87 [0.83-0.92],0.014,*,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-C,0.87 [0.83-0.91],0.003,**,Cholesterol in Medium LDL
PC,0.87 [0.83-0.92],0.034,*,Phosphatidylcholines
Total-PL,0.87 [0.83-0.91],0.016,*,Total-Phospholipids in Lipoprotein Particles
Omega-3,0.87 [0.83-0.91],0.011,*,Omega-3 Fatty Acids
M-VLDL-CE,0.87 [0.83-0.91],0.001,**,Cholesteryl Esters in Medium VLDL
IDL-PL,0.87 [0.83-0.91],0.003,**,Phospholipids in IDL
SM,0.87 [0.83-0.91],0.008,**,Sphingomyelins
DHA%,0.87 [0.82-0.91],0.016,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
