Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.08 [0.99-1.19],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.06 [0.96-1.16],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.05 [0.96-1.15],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.04 [0.95-1.13],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.01 [0.93-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,0.94 [0.86-1.03],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.93 [0.85-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.93 [0.85-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.91 [0.83-1.00],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.91 [0.82-1.00],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
