Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.10 [1.08-1.11],4.749e-29,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.09 [1.08-1.11],3.251e-27,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.09 [1.07-1.11],2.426e-21,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.09 [1.07-1.11],7.902e-25,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.08 [1.07-1.10],4.638e-23,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.08 [1.06-1.09],9.870e-19,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.08 [1.06-1.09],3.192e-18,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.07 [1.05-1.09],3.063e-14,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.06 [1.05-1.08],3.430e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.06 [1.04-1.07],6.776e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.05 [1.04-1.07],2.666e-08,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
MUFA%,1.05 [1.04-1.07],8.313e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.05 [1.03-1.06],3.525e-04,***,Glycoprotein Acetyls
S-HDL-TG%,1.04 [1.02-1.06],0.040,*,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-CE,0.96 [0.95-0.98],0.026,*,Cholesteryl Esters in Small VLDL
M-VLDL-L,0.96 [0.95-0.98],0.030,*,Total-Lipids in Medium VLDL
XL-VLDL-PL%,0.96 [0.95-0.97],0.001,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
DHA,0.96 [0.95-0.98],0.027,*,Docosahexaenoic Acid
XS-VLDL-L,0.96 [0.95-0.97],0.006,**,Total-Lipids in Very Small VLDL
S-VLDL-PL,0.96 [0.95-0.97],0.003,**,Phospholipids in Small VLDL
XS-VLDL-P,0.96 [0.95-0.97],0.002,**,Concentration of Very Small VLDL Particles
Total-P,0.96 [0.95-0.97],0.023,*,Total-Concentration of Lipoprotein Particles
L-HDL-P,0.96 [0.95-0.97],0.014,*,Concentration of Large HDL Particles
HDL-FC,0.96 [0.95-0.97],0.030,*,Free Cholesterol in HDL
XL-HDL-PL,0.96 [0.95-0.97],0.004,**,Phospholipids in Very Large HDL
L-HDL-FC,0.96 [0.95-0.97],0.011,*,Free Cholesterol in Large HDL
HDL-CE,0.96 [0.94-0.97],0.031,*,Cholesteryl Esters in HDL
ApoB/ApoA1,0.96 [0.95-0.97],0.002,**,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-C,0.96 [0.95-0.97],1.732e-04,***,Cholesterol in Small VLDL
HDL-C,0.96 [0.94-0.97],0.017,*,HDL Cholesterol
Omega-6%,0.96 [0.94-0.97],0.032,*,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Phosphoglyc,0.96 [0.94-0.97],0.011,*,Phosphoglycerides
XS-VLDL-FC,0.96 [0.94-0.97],8.675e-05,***,Free Cholesterol in Very Small VLDL
Unsaturation,0.96 [0.94-0.97],0.003,**,Degree of Unsaturation
M-VLDL-P,0.96 [0.94-0.97],7.600e-05,***,Concentration of Medium VLDL Particles
VLDL-C,0.96 [0.94-0.97],4.143e-05,***,VLDL Cholesterol
L-HDL-CE,0.96 [0.94-0.97],0.001,**,Cholesteryl Esters in Large HDL
L-HDL-C,0.96 [0.94-0.97],0.001,**,Cholesterol in Large HDL
S-HDL-C%,0.96 [0.94-0.97],1.531e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-C%,0.96 [0.94-0.97],9.940e-04,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-FC%,0.95 [0.94-0.97],1.365e-04,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-CE%,0.95 [0.94-0.97],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-C%,0.95 [0.94-0.97],1.060e-05,***,Cholesterol to Total-Lipids in Large VLDL percentage
PC,0.95 [0.94-0.97],3.823e-04,***,Phosphatidylcholines
M-VLDL-PL,0.95 [0.94-0.97],4.324e-06,***,Phospholipids in Medium VLDL
S-HDL-FC%,0.95 [0.94-0.97],1.168e-05,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-L,0.95 [0.94-0.97],1.902e-05,***,Total-Lipids in Very Large HDL
Albumin,0.95 [0.94-0.97],3.951e-06,***,Albumin
XL-HDL-FC,0.95 [0.94-0.96],4.313e-07,***,Free Cholesterol in Very Large HDL
VLDL-CE,0.95 [0.94-0.96],7.650e-08,***,Cholesteryl Esters in VLDL
