Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.41 [1.31-1.52],6.872e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.36 [1.26-1.47],6.800e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.34 [1.23-1.46],1.611e-06,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-PL%,1.28 [1.19-1.37],5.737e-06,***,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-PL%,1.26 [1.18-1.35],2.711e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-PL,0.82 [0.76-0.88],0.035,*,Phospholipids in Large LDL
IDL-PL,0.82 [0.76-0.88],0.033,*,Phospholipids in IDL
M-HDL-C%,0.82 [0.76-0.88],0.027,*,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-L,0.81 [0.76-0.88],0.009,**,Total-Lipids in Large LDL
L-LDL-CE,0.81 [0.75-0.87],0.007,**,Cholesteryl Esters in Large LDL
L-LDL-C,0.81 [0.75-0.87],0.004,**,Cholesterol in Large LDL
L-LDL-FC,0.81 [0.75-0.87],0.003,**,Free Cholesterol in Large LDL
IDL-L,0.80 [0.75-0.87],0.002,**,Total-Lipids in IDL
IDL-FC,0.80 [0.75-0.87],0.002,**,Free Cholesterol in IDL
XL-HDL-P,0.80 [0.74-0.87],0.006,**,Concentration of Very Large HDL Particles
XL-HDL-CE,0.80 [0.74-0.87],0.008,**,Cholesteryl Esters in Very Large HDL
M-LDL-C%,0.80 [0.75-0.86],1.206e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.80 [0.74-0.86],0.002,**,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-TG,0.80 [0.74-0.86],0.002,**,Triglycerides in Large HDL
IDL-CE,0.80 [0.74-0.86],5.548e-04,***,Cholesteryl Esters in IDL
IDL-C,0.80 [0.74-0.86],5.590e-04,***,Cholesterol in IDL
S-LDL-C%,0.79 [0.74-0.84],1.387e-06,***,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-CE%,0.79 [0.73-0.84],5.909e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Albumin,0.78 [0.73-0.84],2.536e-07,***,Albumin
Total-FA,0.77 [0.72-0.84],1.982e-05,***,Total-Fatty Acids
Total-FC,0.77 [0.72-0.83],2.488e-06,***,Total-Free Cholesterol
HDL-size,0.77 [0.71-0.84],7.488e-05,***,Average Diameter for HDL Particles
SFA,0.76 [0.70-0.82],5.917e-06,***,Saturated Fatty Acids
Total-L,0.75 [0.69-0.80],3.084e-09,***,Total-Lipids in Lipoprotein Particles
LA,0.74 [0.69-0.80],9.181e-10,***,Linoleic Acid
PUFA,0.74 [0.69-0.80],2.008e-09,***,Polyunsaturated Fatty Acids
SM,0.74 [0.69-0.80],3.194e-09,***,Sphingomyelins
Total-C,0.74 [0.69-0.80],3.700e-10,***,Total-Cholesterol
S-HDL-CE,0.74 [0.69-0.79],6.162e-12,***,Cholesteryl Esters in Small HDL
Omega-6,0.73 [0.68-0.79],7.335e-11,***,Omega-6 Fatty Acids
Total-CE,0.73 [0.68-0.79],1.780e-11,***,Total-Esterified Cholesterol
L-HDL-FC,0.73 [0.67-0.79],2.903e-09,***,Free Cholesterol in Large HDL
S-HDL-P,0.73 [0.67-0.78],9.558e-13,***,Concentration of Small HDL Particles
S-HDL-C,0.72 [0.67-0.77],1.695e-14,***,Cholesterol in Small HDL
L-HDL-CE,0.71 [0.66-0.77],1.683e-10,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.71 [0.66-0.77],1.676e-10,***,Cholesterol in Large HDL
S-HDL-L,0.71 [0.66-0.76],2.221e-15,***,Total-Lipids in Small HDL
L-HDL-P,0.70 [0.65-0.76],1.623e-11,***,Concentration of Large HDL Particles
L-HDL-PL,0.70 [0.65-0.76],2.536e-12,***,Phospholipids in Large HDL
S-HDL-PL,0.70 [0.65-0.75],3.531e-16,***,Phospholipids in Small HDL
L-HDL-L,0.70 [0.64-0.76],1.974e-12,***,Total-Lipids in Large HDL
S-HDL-FC,0.69 [0.64-0.75],2.464e-16,***,Free Cholesterol in Small HDL
Total-PL,0.68 [0.63-0.73],4.297e-18,***,Total-Phospholipids in Lipoprotein Particles
Phosphoglyc,0.66 [0.61-0.71],7.799e-22,***,Phosphoglycerides
Cholines,0.66 [0.61-0.71],3.922e-22,***,Total-Cholines
PC,0.65 [0.61-0.71],1.203e-22,***,Phosphatidylcholines
M-HDL-FC%,0.65 [0.61-0.71],1.584e-21,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-PL,0.64 [0.59-0.69],1.055e-23,***,Phospholipids in Medium HDL
HDL-FC,0.64 [0.59-0.69],1.936e-21,***,Free Cholesterol in HDL
M-HDL-CE,0.64 [0.59-0.69],6.540e-25,***,Cholesteryl Esters in Medium HDL
M-HDL-C,0.63 [0.58-0.68],1.051e-25,***,Cholesterol in Medium HDL
M-HDL-L,0.63 [0.58-0.68],1.190e-26,***,Total-Lipids in Medium HDL
M-HDL-FC,0.63 [0.58-0.68],1.464e-24,***,Free Cholesterol in Medium HDL
M-HDL-P,0.63 [0.58-0.68],5.093e-25,***,Concentration of Medium HDL Particles
HDL-PL,0.63 [0.58-0.68],3.212e-25,***,Phospholipids in HDL
HDL-CE,0.63 [0.58-0.68],1.490e-24,***,Cholesteryl Esters in HDL
Total-P,0.63 [0.58-0.68],2.869e-27,***,Total-Concentration of Lipoprotein Particles
HDL-C,0.62 [0.58-0.68],5.969e-25,***,HDL Cholesterol
HDL-P,0.62 [0.58-0.67],2.106e-27,***,Concentration of HDL Particles
HDL-L,0.62 [0.57-0.67],2.769e-27,***,Total-Lipids in HDL
ApoA1,0.61 [0.57-0.66],3.100e-29,***,Apolipoprotein A1
