Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,1.11 [1.04-1.19],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.06 [0.99-1.14],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.04 [0.97-1.12],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-CE%,1.03 [0.96-1.10],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-FC%,1.01 [0.94-1.08],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-FC%,0.95 [0.89-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,0.95 [0.89-1.01],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.94 [0.87-1.00],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.93 [0.87-1.00],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.92 [0.86-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
